player,train_size,draw,n_shots,model,log_loss,brier,accuracy,roc_auc,ece,ll_skill_%,bs_skill_%,acc_skill_%,reliability,resolution,uncertainty
LeBron James,40,4,787,logistic_RBF,0.7005,0.2446,0.6092,0.6104,0.09774,-2.52,0.19,6.61,0.022327,0.023081,0.244898
LeBron James,40,4,787,gp_location,0.6611,0.2335,0.6253,0.6329,0.06327,3.24,4.74,9.44,0.005826,0.01561,0.244898
LeBron James,50,0,945,intercept_only,0.6835,0.2452,0.5714,0.5,0.016931,-,-,-,0.000287,0.0,0.244898
LeBron James,50,0,945,binned_EB,0.6467,0.2271,0.6496,0.6495,0.015794,5.38,7.38,13.68,0.000755,0.020528,0.244898
LeBron James,50,0,945,logistic_RBF,0.67,0.2349,0.655,0.6294,0.067701,1.98,4.21,14.63,0.012409,0.023558,0.244898
LeBron James,50,0,945,gp_location,0.6598,0.2324,0.6361,0.635,0.073366,3.46,5.22,11.33,0.007878,0.018605,0.244898
LeBron James,50,1,927,intercept_only,0.6832,0.245,0.5714,0.5,0.011096,-,-,-,0.000123,0.0,0.244898
LeBron James,50,1,927,binned_EB,0.6449,0.2263,0.6523,0.6542,0.029039,5.61,7.62,14.16,0.001304,0.01874,0.244898
LeBron James,50,1,927,logistic_RBF,0.67,0.2359,0.6361,0.6288,0.081493,1.93,3.7,11.33,0.010527,0.019582,0.244898
LeBron James,50,1,927,gp_location,0.6577,0.2319,0.6388,0.6348,0.052005,3.73,5.35,11.8,0.004064,0.017584,0.244898
LeBron James,50,2,967,intercept_only,0.6832,0.2451,0.5714,0.5,0.012853,-,-,-,0.000165,0.0,0.244898
LeBron James,50,2,967,binned_EB,0.6453,0.2264,0.6523,0.6523,0.025185,5.55,7.63,14.16,0.000868,0.021065,0.244898
LeBron James,50,2,967,logistic_RBF,0.6729,0.2373,0.628,0.6284,0.073801,1.5,3.19,9.91,0.010451,0.018984,0.244898
LeBron James,50,2,967,gp_location,0.6588,0.2326,0.6226,0.6369,0.056071,3.56,5.11,8.97,0.004488,0.015339,0.244898
